"","sim_id","grid_size","habitat_percent","spatial_ac","frag_factor","n_pop","species","niche_breadth","sim_steps_pre","sim_steps_post","patches","birth_rate","death_rate","dispersal","dispersal_distance","cc_inter","cc_intra","edge_effects","immigrants","n_samples"
"1",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,1
"2",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,2
"3",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,3
"4",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,4
"5",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,5
"6",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,6
"7",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,7
"8",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,8
"9",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,9
"10",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,10
"11",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,11
"12",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,12
"13",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,13
"14",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,14
"15",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,15
"16",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,16
"17",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,17
"18",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,18
"19",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,19
"20",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,20
"21",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,21
"22",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,22
"23",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,23
"24",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,24
"25",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,25
"26",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,26
"27",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,27
"28",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,28
"29",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,29
"30",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,30
"31",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,31
"32",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,32
"33",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,33
"34",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,34
"35",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,35
"36",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,36
"37",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,37
"38",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,38
"39",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,39
"40",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,40
"41",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,41
"42",1,50,0.15,0.9,0.1,5000,1000,0.1,40,60,1,0.85,0.25,1,3,60,60,1,50,42
